地区,2004 年,2005 年,2006 年,2007 年,2008 年,2009 年,2010 年,2011 年,2012 年,2013 年,平均
北京,106.41,105.52,102.62,96.9,98.72,100.5,98.29,99.82,99.28,85.87,99.39
天津,101.32,110.48,112.25,91.55,96.13,103.67,102.63,98.04,106.09,103.9,102.61
河北,1162.3,1236.47,1286.13,1149.22,1193.39,1206.32,1202.45,1163.1,1245.46,1103.4,1194.82
山西,261.98,252.06,269.12,247.61,271.01,317.46,317.53,270.36,336.9,281.48,282.55
内蒙古,491.69,589.35,648.7,607.97,673.15,736.8,735.62,673.63,762.05,755.97,667.49
辽宁,758.03,819.05,848.63,804.2,869.61,1016.14,1018.94,877.82,1048.01,989.83,905.03
吉林,493.07,518.91,542.53,480.73,520.39,580.27,579.8,497.07,604.23,609.07,542.61
黑龙江,667.27,714.13,756.96,738.64,833.04,1022.46,1011.94,856.68,1051.02,1042.88,869.5
上海,157.72,176.74,194.46,207.41,223.04,252.5,227.86,188.92,241.7,223.31,209.36
江苏,1245.87,1284.68,1365.82,1357.06,1417.02,1558.4,1523.84,1408.13,1590.44,1528.63,1427.99
浙江,652.79,653.72,678.71,616.22,666.22,720,714.89,654.2,730.66,661.78,674.92
安徽,977.7,956.3,1008.11,955.17,1002.98,1081.16,1071.77,1040.75,1134.64,1081.87,1031.05
福建,646.83,665.27,669.19,617.26,646.28,722.22,705.55,659.67,756.95,717.98,680.72
江西,601.5,640.99,677.01,688.6,727.42,823.85,819.05,766.46,847.89,821.6,741.44
山东,1844.62,1944.93,1963.98,1822.39,1887.89,2022.66,2028.04,1933.64,2090.06,1846.58,1938.48
河南,1465.99,1594.01,1726.27,1614.92,1706.39,1823.68,1824.21,1757.05,1896.69,1740.93,1715.01
湖北,930.71,954.67,966.39,922.15,988.23,1104.12,1097.68,1044.1,1156.25,1144.97,1030.93
湖南,1020.48,1044.81,1075.92,968.39,1023.26,1144.72,1144.27,1087.62,1180.05,1116.34,1080.59
广东,1152.84,1214.46,1275.62,1262.43,1302.86,1494.95,1441.77,1311.49,1547.44,1452.84,1345.67
广西,706.16,760.72,762.88,788.96,807.26,882.87,898.44,851.01,918.31,811.02,818.76
海南,169.62,176.77,196.9,179.29,192.22,220.09,219,201.68,236.69,201.35,199.36
重庆,350.19,364.79,327.25,335.3,364.7,401.45,392.63,373.3,427.22,422.17,375.9
四川,1147.24,1197.33,1191.74,1104.95,1167,1266.3,1269.05,1220.3,1307.37,1279.33,1215.06
贵州,343.98,363.09,368.42,336.36,351.4,334.58,331.19,360.84,379.05,375.94,354.49
云南,481.56,506.55,536.26,484.17,538.68,622.39,616.16,573.97,658.98,631.38,565.01
西藏,26.87,28.02,28.75,29.22,34.33,31.54,31.56,29.53,30.5,32.2,30.25
陕西,392.15,403.87,429.37,427.73,453.49,508.07,506.43,471.01,531.5,370.85,449.45
甘肃,223.88,241.11,246.63,238.59,259.25,305.75,301.57,273.21,329.87,285.76,270.56
青海,45.36,50.72,49.3,53.8,54.57,56.91,57.37,56.13,57.44,60.13,54.17
宁夏,85.26,94.3,100.89,104.32,115.37,131.5,130.16,118.58,136.96,114.96,113.23
新疆,313.52,343.9,366.05,345.99,370.53,418.36,431.46,407.68,443.08,343.25,378.38
全国,19024.9,20007.71,20772.86,19677.49,20855.82,23011.71,22851.17,21325.79,23882.78,22237.56,21364.78
